horizon,model,n_train,n_test,dir_acc_train,dir_acc_test,r2_train,r2_test,mse_train,mse_test,ic_train,ic_test,dir_acc_gap
1d,histgb,84,46,0.7261904761904762,0.5,0.34137023707468406,-0.13945131603099759,0.0003616694015863406,0.0009375338143896588,0.6584995443960717,0.11619229707334446,0.22619047619047616
1d,lasso,84,46,0.5833333333333334,0.43478260869565216,0.0,-0.19172672981800765,0.0005491239873217685,0.0009805457161681812,,,0.1485507246376812
1d,lgbm,84,46,0.7023809523809523,0.5,0.343904260873905,-0.14510833775567034,0.0003602779083337441,0.0009421883784601025,0.6469575782120077,0.09213975150083686,0.20238095238095233
1d,logreg,84,46,0.6190476190476191,0.4782608695652174,,,,,,,0.14078674948240166
1d,ridge,84,46,0.6309523809523809,0.4782608695652174,0.07289409107743439,-0.17543575356171215,0.0005090960933771316,0.000967141597102439,0.3802369140427256,0.1438791242676534,0.15269151138716353
1d,xgb,84,46,0.7261904761904762,0.5217391304347826,0.4671701006325425,-0.1271813513576201,0.0002925896789049149,0.0009274381599103365,0.7199352029968615,0.10860314523589268,0.20445134575569357
5d,histgb,84,46,0.8452380952380952,0.5652173913043478,0.7066223407527163,-0.4429985915888137,0.0007089629846558051,0.0028268633859384134,0.8869089804596536,0.12500770891150167,0.28002070393374745
5d,lasso,84,46,0.6666666666666666,0.5652173913043478,0.22390315452006426,-0.09658513190472973,0.0018754800122310431,0.0021482324217189878,0.5709753986706629,0.21012412431007013,0.10144927536231885
5d,lgbm,84,46,0.9166666666666666,0.5869565217391305,0.9239345180009315,-0.6840686593551031,0.00018381635222567238,0.0032991245177139343,0.9731497418244407,0.10749306197964847,0.32971014492753614
5d,logreg,84,46,0.8809523809523809,0.5869565217391305,,,,,,,0.29399585921325044
5d,ridge,84,46,0.75,0.6521739130434783,0.4501514422247992,-0.13013130669862072,0.0013287387854588504,0.002213950055690292,0.7169585906651817,0.3395004625346901,0.09782608695652173
5d,xgb,84,46,0.7976190476190477,0.5434782608695652,0.6121848532908779,-0.4572667372683106,0.0009371762819672636,0.002854814971505933,0.849827122756271,0.17545482577860003,0.2541407867494825
21d,histgb,84,40,0.8452380952380952,0.5,0.5579735965112216,-0.715464025751096,0.0033619968555820825,0.008050895914520921,0.8446678614168006,-0.023547070714022962,0.34523809523809523
21d,lasso,84,40,0.5952380952380952,0.45,0.0,-0.25194080538880415,0.007605873380067065,0.0058755211208312424,,,0.14523809523809522
21d,lgbm,84,40,0.8333333333333334,0.525,0.5379873441260907,-0.7505081633616599,0.0035140097605654524,0.008215362612791242,0.8187547775480912,0.005534968813256393,0.30833333333333335
21d,logreg,84,40,0.8809523809523809,0.475,,,,,,,0.40595238095238095
21d,ridge,84,40,0.7142857142857143,0.425,0.3618443671763413,-1.0847372790116596,0.004853730940033317,0.009783943347395904,0.6786878606864433,-0.2407129455909944,0.2892857142857143
21d,xgb,84,40,0.8452380952380952,0.5,0.5611381771038244,-0.6695101206621952,0.0033379274562937286,0.007835228257733699,0.8467274486262771,-0.0037526972676643414,0.34523809523809523
63d,histgb,84,35,0.9047619047619048,0.45714285714285713,0.7945160417581261,-0.4516099685305479,0.008191475791318306,0.0760328596045207,0.9412372177786777,-0.14201680672268907,0.44761904761904764
63d,lasso,84,35,0.7619047619047619,0.5428571428571428,0.6055975626916836,-0.4953818690618188,0.01572258021935283,0.07832555725738001,0.7466842158550168,-0.12324929971988796,0.21904761904761905
63d,lgbm,84,35,0.8928571428571429,0.4857142857142857,0.8092125422461525,-0.5770163363752816,0.007605609969991954,0.0826014317186291,0.914751442745773,-0.16386554621848742,0.4071428571428572
63d,logreg,84,35,0.8690476190476191,0.4857142857142857,,,,,,,0.38333333333333336
63d,ridge,84,35,0.7619047619047619,0.5714285714285714,0.5318745709635133,-0.42268413052567366,0.01866149626502302,0.07451777343974735,0.7183557760453579,-0.14677871148459384,0.19047619047619047
63d,xgb,84,35,0.9166666666666666,0.45714285714285713,0.8509657012396069,-0.525600328682722,0.005941149181751944,0.07990834874244183,0.9558975397387871,-0.11680672268907563,0.4595238095238095
